Id,Label,timeset,modularity_class
66,docs::functree,,2
404,docs::arbo,,2
29,docs::save,,2
467,sql::sav,,1
4,sql::trunc,,1
30,docs::find_func,,2
32,docs::funcnt,,2
67,docs::funclist,,2
54,docs::count_cases,,2
56,docs::occurrences,,2
68,docs::funcount,,2
61,docs::analys,,2
69,docs::capture,,2
70,docs::rapport,,2
76,docs::build,,2
399,docs::state,,2
84,docs::menu,,2
531,sql::read,,1
494,build::tabler,,5
376,docs::doc,,2
380,docs::see2,,2
386,docs::see,,2
390,docs::vue,,2
398,docs::mktree,,2
405,docs::funcsee,,2
57,docs::')!==false)$rf[]=between,,2
75,docs::read,,2
82,docs::call,,2
85,edit::save,,9
373,db::cols_k,,7
88,edit::update,,9
484,sql::upd,,1
91,edit::create,,9
545,form::call,,21
371,db::cols_r,,7
95,edit::edit,,9
99,edit::play,,9
112,edit::read,,9
106,edit::entries,,9
105,edit::menu,,9
113,edit::list,,9
354,sql::call,,1
511,edit::call,,9
115,form::build,,21
116,head::json,,4
554,json::call,,11
118,head::relod,,4
119,head::jscode,,4
123,head::run,,4
121,head::html,,4
122,head::page,,4
124,head::call,,4
127,head::build,,4
126,head::get,,4
128,img::imgthumb,,19
132,img::thumb,,19
321,img::getim,,19
133,img::scale,,19
134,img::alpha,,19
142,json::err,,11
337,json::file,,11
137,json::error,,11
138,json::build,,11
463,login::uid,,6
152,login::register,,6
146,login::hash,,6
153,login::firstuser,,6
464,login::identify,,6
151,login::regcall,,6
171,login::response,,6
156,login::vrfpsw,,6
552,sql::inner,,1
161,login::resetip,,6
164,login::recognize0,,6
516,login::recognize,,6
169,login::call,,6
170,login::form,,6
172,login::loged,,6
173,secur::call,,26
175,sql::__construct,,1
178,sql::dbq,,1
240,sql::rq,,1
363,sql::qr,,1
228,sql::sqcl,,1
372,db::cols_s,,7
352,sql::mkq,,1
227,sql::where,,1
231,sql::prep,,1
229,sql::see,,1
188,sql::bind,,1
234,sql::format,,1
238,sql::fetch,,1
195,sql::read2,,1
212,sql::alex,,1
213,sql::combine,,1
241,sql::cols,,1
214,sql::integrity,,1
217,sql::mkv,,1
215,sql::complete,,1
216,sql::sav2,,1
218,sql::mkvq,,1
222,sql::mkvk,,1
236,sql::call2,,1
239,sql::com,,1
248,sql::ex,,1
360,sql::backup,,1
364,sql::drop,,1
252,str::eradic_acc,,3
262,str::acc,,3
251,str::normalize,,3
253,str::normalize_alpha,,3
254,str::normalize_ext,,3
255,str::clean_punctuation,,3
259,str::clean_acc,,3
258,str::nicequotes,,3
260,str::add_nbsp,,3
261,str::lowcase,,3
263,str::lowercase,,3
264,str::letcase,,3
331,str::clean_lines,,3
269,str::clean_whitespaces,,3
268,str::trim,,3
270,str::clean_mail,,3
272,str::clean_br,,3
536,view::vars,,12
286,view::file,,12
288,view::trigger,,12
291,view::save,,12
537,view::save_html,,12
296,view::build,,12
538,view::com,,12
557,view::call,,12
304,build::playr,,5
388,build::tree,,5
393,build::csvfile,,5
306,build::writecsv,,5
307,build::btpages,,5
308,build::btpages_nb,,5
455,build::ftpchmod,,5
310,build::ftp,,5
317,conn::parser,,14
313,conn::connectors,,14
314,conn::poc,,14
533,conns::socialk,,16
452,conn::build,,14
420,conn::embed_p,,14
326,conv::tags,,10
320,img::b64img,,19
328,conv::recursearch,,10
327,conv::ecart,,10
335,conv::parse,,10
430,conv::build,,10
332,str::clean_n,,3
333,conv::cleanhtml,,10
334,conv::cleanconn,,10
340,css::trigger,,20
345,css::file,,20
346,css::save,,20
347,css::read,,20
343,css::build,,20
348,db::jsoncolfromattr,,7
350,db::modifjsonvar,,7
357,db::cols,,7
361,db::type_cols,,7
356,db::cleanup,,7
367,db::trigger,,7
362,db::create,,7
365,sql::unikey,,1
366,db::create_cols,,7
368,db::table,,7
517,db::install_all,,7
383,docs::iter2,,2
406,docs::iter,,2
402,docs::save2,,2
397,docs::find,,2
403,docs::unused,,2
407,contact::save,,22
498,contact::read,,22
532,posts::usrart,,8
425,posts::catid,,8
526,posts::content,,8
421,posts::del,,8
433,posts::save,,8
449,posts::read,,8
427,posts::update,,8
431,posts::create,,8
447,posts::datas,,8
477,tracks::call,,13
518,conns::bt,,16
450,posts::stream,,8
448,posts::call,,8
456,test::md,,24
453,conv::md2conn,,10
454,test::call,,24
457,tracks::del,,13
459,tracks::edit,,13
469,tracks::register,,13
466,tracks::save,,13
471,tracks::read,,13
481,tracks::stream,,13
480,tracks::form,,13
482,admin::pub,,18
487,admin::btswitch,,18
495,admin::bt,,18
499,admin::pending_tracks,,18
500,admin::pending_posts,,18
496,admin::call,,18
512,build::tabs,,5
501,admin::jsonfiles,,18
548,nav::edit,,17
503,blocks::banner,,15
506,blocks::home,,15
527,conns::profile,,16
530,conns::socials,,16
510,blocks::user,,15
513,boot::cnfg,,25
515,boot::call,,25
520,conns::list,,16
521,build::mkli,,5
522,conns::art,,16
524,conns::read,,16
541,main::read,,23
539,blocks::call,,15
540,main::call,,23
542,nav::save,,17
543,json::add,,11
544,nav::create,,17
546,nav::modif,,17
550,build::editable,,5
555,nav::defaults,,17
558,nav::datas,,17
556,nav::call,,17
