Source,Target,Type,Id,Label,Timeset,Weight
372,372,undirected,,,,1
372,373,undirected,,,,1
372,374,undirected,,,,1
372,375,undirected,,,,1
372,376,undirected,,,,1
372,377,undirected,,,,1
372,378,undirected,,,,1
372,379,undirected,,,,1
372,380,undirected,,,,1
372,521,undirected,,,,1
372,484,undirected,,,,1
372,383,undirected,,,,1
372,384,undirected,,,,1
372,385,undirected,,,,1
372,386,undirected,,,,1
372,387,undirected,,,,1
372,388,undirected,,,,1
372,389,undirected,,,,1
372,397,undirected,,,,1
373,372,undirected,,,,1
374,373,undirected,,,,1
24,375,undirected,,,,0
24,376,undirected,,,,0
376,375,undirected,,,,2
376,376,undirected,,,,2
377,484,undirected,,,,1
378,374,undirected,,,,1
378,376,undirected,,,,1
378,377,undirected,,,,1
378,379,undirected,,,,1
378,388,undirected,,,,1
378,389,undirected,,,,1
378,397,undirected,,,,1
379,521,undirected,,,,3
42,378,undirected,,,,0
42,383,undirected,,,,0
42,384,undirected,,,,0
42,385,undirected,,,,0
42,386,undirected,,,,0
42,387,undirected,,,,0
49,379,undirected,,,,0
49,380,undirected,,,,0
52,457,undirected,,,,0
52,332,undirected,,,,0
55,474,undirected,,,,0
55,332,undirected,,,,0
58,535,undirected,,,,1
58,521,undirected,,,,1
58,330,undirected,,,,1
62,535,undirected,,,,1
62,521,undirected,,,,1
62,330,undirected,,,,1
66,521,undirected,,,,1
66,484,undirected,,,,1
66,332,undirected,,,,1
79,73,undirected,,,,1
79,72,undirected,,,,1
73,521,undirected,,,,1
73,330,undirected,,,,1
80,313,undirected,,,,1
501,79,undirected,,,,3
501,80,undirected,,,,3
535,82,undirected,,,,3
83,542,undirected,,,,1
85,86,undirected,,,,0
90,88,undirected,,,,2
89,90,undirected,,,,0
91,94,undirected,,,,0
93,94,undirected,,,,0
95,99,undirected,,,,0
280,99,undirected,,,,1
99,100,undirected,,,,2
99,101,undirected,,,,2
109,296,undirected,,,,2
109,104,undirected,,,,2
105,109,undirected,,,,0
542,296,undirected,,,,12
