Id,Label,timeset,modularity_class
0,conv::call,,14
1,str::clean_lines,,6
2,str::clean_n,,6
73,sql::inner,,0
8,sql::qr,,0
5,sql::call,,0
7,sql::backup,,0
9,sql::drop,,0
10,sql::ex,,0
56,json::call,,11
16,json::file,,11
13,login::fastsave,,8
14,sql::sav,,0
18,view::vars,,3
25,view::save_html,,3
26,view::com,,3
74,view::call,,3
27,head::json,,7
32,db::cols_k,,5
30,db::cols_r,,5
31,db::cols_s,,5
33,db::install_all,,5
46,conn::call,,12
39,conn::embed_p,,12
61,posts::content,,4
72,sql::read,,0
40,posts::create,,4
43,posts::read,,4
49,tracks::call,,17
55,conns::bt,,1
52,contact::read,,13
54,build::tabler,,2
57,conns::list,,1
58,build::mkli,,2
59,conns::read,,1
70,conns::usrart,,1
64,conns::profile,,1
67,conns::socials,,1
69,conns::socialk,,1
71,blocks::nav,,9
